Transmission Line And Free Space Method 15.1.16021801
Agilent Technologies,N5230C,MY49000690,A.09.42.22

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Mu and Epsilon
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.500000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.000000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Friday, January 01, 1988 04:04:08"
frequency(GHz),e',e'',u',u''
        12.4000,   4.6784,   0.1428,   0.9948,   0.0058
        12.4035,   4.6751,   0.1483,   0.9978,   0.0017
        12.4070,   4.6775,   0.1446,   0.9961,  -0.0069
        12.4105,   4.6757,   0.1536,   0.9950,  -0.0024
        12.4140,   4.6755,   0.1544,   0.9961,   0.0040
        12.4175,   4.6722,   0.1521,   0.9902,   0.0007
        12.4210,   4.6803,   0.1465,   0.9934,   0.0022
        12.4245,   4.6744,   0.1461,   0.9965,  -0.0014
        12.4280,   4.6886,   0.1512,   1.0019,   0.0041
        12.4315,   4.6659,   0.1362,   0.9865,  -0.0061
        12.4350,   4.6732,   0.1366,   0.9941,  -0.0065
        12.4385,   4.6693,   0.1562,   0.9865,   0.0027
        12.4420,   4.6760,   0.1431,   1.0004,  -0.0036
        12.4455,   4.6618,   0.1487,   0.9923,   0.0053
        12.4490,   4.6737,   0.1424,   0.9923,   0.0026
        12.4525,   4.6776,   0.1457,   0.9958,   0.0002
        12.4560,   4.6757,   0.1486,   0.9983,   0.0005
        12.4595,   4.6763,   0.1462,   0.9940,  -0.0017
        12.4630,   4.6781,   0.1458,   0.9955,   0.0022
        12.4665,   4.6828,   0.1470,   0.9991,   0.0004
        12.4700,   4.6823,   0.1409,   0.9965,  -0.0031
        12.4735,   4.6834,   0.1493,   0.9959,   0.0072
        12.4770,   4.6789,   0.1483,   0.9919,   0.0018
        12.4805,   4.6737,   0.1478,   0.9927,   0.0041
        12.4840,   4.6792,   0.1514,   0.9940,   0.0038
        12.4875,   4.6792,   0.1504,   1.0033,  -0.0012
        12.4910,   4.6883,   0.1368,   0.9912,  -0.0049
        12.4945,   4.6754,   0.1484,   0.9938,   0.0043
        12.4980,   4.6857,   0.1435,   0.9999,   0.0025
        12.5015,   4.6839,   0.1478,   0.9956,   0.0085
        12.5050,   4.6814,   0.1564,   0.9996,   0.0077
        12.5085,   4.6899,   0.1539,   0.9980,   0.0010
        12.5120,   4.6845,   0.1530,   0.9943,   0.0003
        12.5155,   4.6788,   0.1481,   0.9908,  -0.0008
        12.5190,   4.6850,   0.1507,   1.0024,   0.0014
        12.5225,   4.6711,   0.1555,   0.9911,   0.0055
        12.5260,   4.6764,   0.1465,   0.9948,   0.0028
        12.5295,   4.6832,   0.1514,   1.0040,   0.0003
        12.5330,   4.6829,   0.1509,   0.9996,  -0.0031
        12.5365,   4.6860,   0.1366,   1.0074,  -0.0130
        12.5400,   4.6790,   0.1472,   0.9951,  -0.0077
        12.5435,   4.6819,   0.1459,   0.9980,  -0.0061
        12.5470,   4.6747,   0.1473,   0.9953,  -0.0061
