Transmission Line And Free Space Method 15.1.16021801
Agilent Technologies,N5230C,MY49000690,A.09.42.22

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Mu and Epsilon
Sample Holder Type:, Waveguide
Cutoff Frequency:, 6.560010 GHz
Sample Holder Length:, 9.700000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.300000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Friday, January 01, 1988 03:02:12"
frequency(GHz),e',e'',u',u''
         8.2000,   3.8805,   0.1022,   1.0293,   0.0095
         8.2026,   3.8779,   0.1004,   1.0388,   0.0136
         8.2052,   3.8752,   0.0987,   1.0446,   0.0057
         8.2079,   3.8789,   0.0949,   1.0363,   0.0174
         8.2105,   3.8768,   0.0951,   1.0403,   0.0138
         8.2131,   3.8788,   0.0990,   1.0305,   0.0010
         8.2157,   3.8760,   0.0972,   1.0333,   0.0193
         8.2184,   3.8761,   0.1020,   1.0372,   0.0139
         8.2210,   3.8780,   0.1047,   1.0369,   0.0086
         8.2236,   3.8807,   0.1051,   1.0382,   0.0098
         8.2262,   3.8804,   0.1037,   1.0360,   0.0026
         8.2289,   3.8842,   0.1097,   1.0468,  -0.0005
         8.2315,   3.8777,   0.1040,   1.0320,   0.0097
         8.2341,   3.8714,   0.1034,   1.0414,   0.0038
         8.2367,   3.8755,   0.0977,   1.0336,   0.0066
         8.2394,   3.8755,   0.1083,   1.0455,   0.0049
         8.2420,   3.8858,   0.0991,   1.0358,   0.0105
         8.2446,   3.8785,   0.1004,   1.0363,   0.0061
         8.2472,   3.8894,   0.1077,   1.0379,   0.0092
         8.2499,   3.8833,   0.1051,   1.0374,   0.0069
         8.2525,   3.8710,   0.1005,   1.0408,   0.0003
         8.2551,   3.8734,   0.0974,   1.0432,   0.0084
         8.2577,   3.8769,   0.1057,   1.0354,   0.0041
         8.2604,   3.8825,   0.1035,   1.0375,   0.0061
         8.2630,   3.8808,   0.1073,   1.0317,   0.0069
         8.2656,   3.8774,   0.0984,   1.0431,   0.0054
         8.2682,   3.8850,   0.0964,   1.0357,   0.0151
         8.2709,   3.8770,   0.1071,   1.0339,   0.0001
         8.2735,   3.8762,   0.1037,   1.0382,   0.0036
         8.2761,   3.8834,   0.1019,   1.0325,   0.0074
         8.2787,   3.8776,   0.1075,   1.0367,   0.0028
         8.2814,   3.8795,   0.0982,   1.0363,   0.0089
         8.2840,   3.8807,   0.0943,   1.0418,   0.0123
         8.2866,   3.8799,   0.0996,   1.0413,   0.0020
         8.2892,   3.8830,   0.0921,   1.0357,   0.0141
         8.2919,   3.8825,   0.1003,   1.0472,  -0.0014
         8.2945,   3.8762,   0.0903,   1.0429,   0.0198
         8.2971,   3.8810,   0.0954,   1.0391,   0.0113
         8.2997,   3.8780,   0.0971,   1.0518,   0.0083
         8.3024,   3.8854,   0.0920,   1.0398,   0.0106
         8.3050,   3.8770,   0.0901,   1.0419,   0.0142
         8.3076,   3.8873,   0.0937,   1.0366,   0.0111
         8.3102,   3.8868,   0.0971,   1.0443,  -0.0028
         8.3129,   3.8868,   0.0862,   1.0391,   0.0134
         8.3155,   3.8787,   0.0926,   1.0419,   0.0107
         8.3181,   3.8794,   0.0939,   1.0325,   0.0137
         8.3207,   3.8763,   0.0922,   1.0473,   0.0153
         8.3234,   3.8803,   0.0971,   1.0352,   0.0159
         8.3260,   3.8866,   0.0916,   1.0401,   0.0161
         8.3286,   3.8806,   0.0975,   1.0385,   0.0138
         8.3312,   3.8839,   0.0939,   1.0454,   0.0132
         8.3339,   3.8850,   0.0937,   1.0382,   0.0183
         8.3365,   3.8754,   0.0924,   1.0430,   0.0050
         8.3391,   3.8839,   0.0967,   1.0397,   0.0127
         8.3417,   3.8804,   0.0945,   1.0400,   0.0085
         8.3444,   3.8767,   0.0984,   1.0434,   0.0094
         8.3470,   3.8841,   0.0982,   1.0356,   0.0131
         8.3496,   3.8828,   0.0925,   1.0399,   0.0180
         8.3522,   3.8787,   0.0895,   1.0469,   0.0151
         8.3549,   3.8790,   0.0969,   1.0369,   0.0153
         8.3575,   3.8754,   0.1024,   1.0475,   0.0063
         8.3601,   3.8763,   0.1043,   1.0490,   0.0022
         8.3627,   3.8788,   0.1044,   1.0458,   0.0092
         8.3654,   3.8768,   0.1060,   1.0462,   0.0103
